工廠或製造場所名稱,工廠或製造場所地址,工廠登記編號,食品業者登錄字號,驗證業別,驗證效期
"光代冷藏食品工業有限公司","臺南市南區彰南里新孝路205號","99673143","D-169597074-00001-9","其他","105/11/16~107/11/15"
"傑登生研有限公司台中三廠","臺中市西屯區協和里工業區11路17號","66004012","B-112698729-00003-6","乳品加工食品業","105/11/16~107/11/15"
"新蓬萊食品股份有限公司","桃園市中壢區月眉里月眉路二段248巷85號","03000553","H-127419268-00001-5","罐頭食品製造業","105/11/16~107/11/15"
"新竹麵粉廠股份有限公司","新竹市東區前溪里公道五路三段二二九號","99667897","O-147040572-00001-2","麵粉製造業","105/11/16~107/11/15"
"泰益麵粉廠股份有限公司","桃園市桃園區建國里大林路二之一號","99629138","H-143252602-00001-0","麵粉製造業","105/11/16~107/11/15"
"生發號農產有限公司","新北市淡水區北投子77之1號1樓","65000615","F-127746925-00002-7","罐頭食品製造業","105/11/16~107/11/15"
"泉通飲料有限公司","新竹市香山區朝山里中華路五段４５０號","99667478","O-147199707-00001-7","罐頭食品製造業","105/11/16~107/11/15"
"大和食品廠","桃園市大溪區中華路52巷47號","99-628398-00","H-136497320-00001-0","罐頭食品製造業","105/11/16~107/11/15"
"聯華實業股份有限公司富岡工廠","桃園市楊梅區員本里民富路3段647號","99686195","H-111996904-00001-5","麵粉製造業","105/11/16~107/11/15"
"鈺統食品股份有限公司二廠","雲林縣斗六市溪洲里科加路９號","99709542","P-122351303-00002-4","乳品加工食品業","105/11/16~107/11/15"
"穗豐食品原料有限公司","桃園市蘆竹區南崁路一段99號7樓之6","03002138","H-153198277-00001-8","食品添加物製造業","105/11/16~107/11/15"
"志斌食品股份有限公司","高雄市岡山區嘉興里嘉華路２７之１號","99661845","E-188738222-00001-3","罐頭食品製造業","105/09/23~107/09/22"
"晨欣食品有限公司","屏東縣萬巒鄉佳和村佳興路77-5號","99-699644-01","T-112622290-00001-2","罐頭食品製造業","105/10/01~107/09/30"
"哈哈醬園股份有限公司","高雄市岡山區協榮里仁壽南路１１０之１號","99664202","E-188738118-00001-7","罐頭食品製造業","105/11/02~107/11/01"
"憶霖企業股份有限公司(斗六二廠)","雲林縣斗六市榴中里斗工二路31號","99709426","P-122452132-00002-6","乳品加工食品業","105/11/22~107/11/21"
