工廠或製造場所名稱,工廠或製造場所地址,工廠登記編號,食品業者登錄字號,驗證業別,驗證效期
"珍苑食品股份有限公司","臺北市士林區倫等街五十一號一樓及二樓","63022317","A-154359882-00001-3","水產食品業、肉類加工食品業、罐頭食品製造業","105/11/22~107/11/21"
"金葉生技股份有限公司第二廠","新竹市香山區中埔里牛埔路287號、287號二樓","18000165","O-153834071-00002-5","罐頭食品製造業","105/06/30~107/06/29"
"南亞食品工業股份有限公司","桃園市桃園區大林里桃鶯路四一一號","99621179","H-143211808-00001-3","其他、罐頭食品製造業","105/07/26~107/07/25"
"杏輝藥品工業股份有限公司食品二廠","宜蘭縣冬山鄉中山村中山路84號(C棟1樓)","02000173","G-142042734-00002-2","乳品加工食品業","105/07/22~107/07/21"
"香港商香港弘景企業有限公司台灣分公司","臺南市新市區港墘里興業路12號","9968473601","D-127250297-00001-6","罐頭食品製造業","105/07/27~107/07/26"
"馬來西亞商白蘭氏三得利股份有限公司台灣分公司彰濱廠","彰化縣鹿港鎮海埔里彰濱工業區鹿工路１８號","99645272","N-127930041-00001-8","罐頭食品製造業","105/07/27~107/07/26"
"蔚昌實業有限公司","臺中市霧峰區吉峰里吉峰路67巷8號1樓","99636457","B-184828026-00001-8","食品添加物製造業","105/08/09~107/08/08"
"員山鄉農會食品加工廠","宜蘭縣員山鄉員山村員山路一段210號","99620052","G-140184102-00001-5","罐頭食品製造業","105/08/10~107/08/09"
"台東初鹿乳品有限公司","高雄市大社區保社里中正路329-3號","64006876","E-153031755-00001-2","乳品加工食品業","105/08/03~107/08/02"
"世鑫食品股份有限公司新化廠","臺南市新化區　拔里牧場1之27號","67001200","D-123009572-00002-1","乳品加工食品業","105/09/09~107/09/08"
"新生產業股份有限公司豐林麵粉廠","桃園市桃園區豐林里三民路三段四四三號","99628663","H-143350006-00001-7","麵粉製造業","105/09/13~107/09/12"
"名屋食品廠產業股份有限公司","雲林縣褒忠鄉中民村中正路12號","99654067","P-127115286-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"伍中食品廠股份有限公司","南投縣南投市振興里南鄉路178號","99652849","M-103160108-00001-0","罐頭食品製造業","105/08/22~107/03/10"
"德昌食品股份有限公司","臺中市大里區仁化路756號","99634121","B-157215142-00001-7","罐頭食品製造業","105/08/22~107/03/10"
"大茂食品工業股份有限公司","屏東縣屏東市建國路450巷11號","99665895","T-191731075-00001-1","罐頭食品製造業","105/08/22~107/03/10"
"歐典生物科技股份有限公司","彰化縣埤頭鄉崙腳村興工路20、28號","99645375","N-122709339-00001-7","罐頭食品製造業、特殊營養食品製造業","105/08/22~107/03/10"
"菇王食品企業有限公司","雲林縣林內鄉坪頂村清水溪50號","99653830","P-197604982-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"興毅冷凍食品工業股份有限公司","嘉義縣朴子市竹村里1之6號","99654986","Q-166328049-00001-3","罐頭食品製造業","105/08/22~107/03/10"
"老三林食品廠","宜蘭縣蘇澳鎮蘇南里蘇北路18號","99620463","G-141597854-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"饗城股份有限公司二林廠","彰化縣二林鎮東興里長青路300號","99680449","N-128095323-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"禎祥食品工業股份有限公司","嘉義縣朴子市竹村里鴨母寮1-3號","99654858","Q-167321044-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"統裕食品股份有限公司永康廠","臺南市永康區新中街202號","67001031","D-180621620-00002-8","罐頭食品製造業","105/08/22~107/03/10"
"潤泉國際企業有限公司","宜蘭縣礁溪鄉白雲二路75號","99620063","G-116386091-00001-9","罐頭食品製造業","105/08/22~107/03/10"
"統芳生物科技股份有限公司","臺南市永康區東橋里中正路279巷2弄53、55號","99658842","D-186956550-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"金春勝食品冷凍股份有限公司","宜蘭縣蘇澳鎮新城里中山路二段365巷2號","99620924","G-142022012-00001-8","罐頭食品製造業","105/08/22~107/03/10"
"吉康食品股份有限公司","臺中市西屯區工業區三十一路13號","99670056","B-123107476-00001-0","罐頭食品製造業","105/08/22~107/03/10"
"扶星企業股份有限公司","高雄市大寮鄉大有一街28號","99663626","E-175958638-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"香王實業股份有限公司二廠","臺中市西屯區協和里工業區三十四路16號","99670534","B-179960869-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"黑松股份有限公司中壢廠","桃園市中壢區中園路178號","99621186","H-120651901-00001-0","罐頭食品製造業","105/08/22~107/03/10"
"金蘭食品股份有限公司埔頂工廠","桃園市大溪區介壽路236號","99624650","H-143008609-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"協隆罐頭工廠股份有限公司","彰化縣員林鎮員水路一段607號","99056147","N-159598709-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"統荃生醫股份有限公司","臺南市永康區中正路279巷21弄25.27號","67000341","D-129111862-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"金車股份有限公司中壢廠","桃園市中壢區仁美里榮民南路412號","99628011","H-105007903-00003-2","罐頭食品製造業","105/08/22~107/03/10"
"春喬食品興業股份有限公司","彰化縣員林鎮鎮興里山腳路三段25巷72號","99646003","N-160314693-00001-4","罐頭食品製造業","105/08/22~107/03/10"
"聯夏食品工業股份有限公司屏東廠","屏東縣麟洛鄉新田村民生路134號","99699701","T-180677588-00001-7","罐頭食品製造業","105/08/22~107/03/10"
"統盛國際股份有限公司宜蘭廠","宜蘭縣宜蘭市梅洲二路56號","99620434","G-180298046-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"優生生物科技股份有限公司","臺中市西屯區科園路26號","93A00021","B-112800631-00001-1","罐頭食品製造業","105/08/22~107/03/10"
"弘采食品有限公司","臺南市山上鄉明和村北勢洲58-1號","99683028","D-124375409-00001-6","罐頭食品製造業","105/08/22~107/03/10"
"羅東鎮農會食品工廠","宜蘭縣羅東鎮大新里倉前路14號","99620658","G-141920001-00001-2","罐頭食品製造業","105/08/22~107/03/10"
"中華民國農會台農鮮乳廠","臺中市西屯區協和里工業區十三路１、２號","99669081","B-157206805-00001-3","罐頭食品製造業、乳品加工食品業","105/08/22~107/03/10"
"台灣第一生化科技股份有限公司嘉義保健飲料廠","嘉義縣民雄鄉工業二路12-1號","99675906","Q-170744139-00001-0","罐頭食品製造業、乳品加工食品業","105/08/22~107/03/10"
"味王股份有限公司豐田廠","雲林縣大埤鄉嘉興村豐田路14號","99653390","P-107067309-00001-6","罐頭食品製造業、食品添加物製造業","105/08/22~107/03/10"
"名泓實業股份有限公司","新北市五股區五權六路一五號（一樓及地下一層）","99603273","F-123123623-00001-6","食品添加物製造業","105/08/22~107/03/10"
"青春泉食品股份有限公司湖口廠","新竹縣湖口鄉勝利村實踐路22號","99630001","J-189797959-00001-1","食品添加物製造業","105/08/22~107/03/10"
"味丹企業股份有限公司沙鹿第三工廠","臺中市沙鹿區興安路65號","99703840","B-156121907-00003-3","罐頭食品製造業、食品添加物製造業","105/08/22~107/03/10"
"美達食品工業股份有限公司土庫工廠","雲林縣虎尾鎮三合里建國路36號","99653465","P-143232509-00001-2","罐頭食品製造業、特殊營養食品製造業","105/08/22~107/03/10"
"豐世紀股份有限公司","雲林縣古坑鄉古坑村中山路5巷3之9號","99654591","P-116725254-00001-6","罐頭食品製造業、特殊營養食品製造業","105/08/22~107/03/10"
"統一企業股份有限公司永康食品廠","臺南市永康市鹽行村中正路301號","99656729","D-173251209-00003-3","食用油脂、罐頭食品製造業","105/08/22~107/03/10"
"裕國冷凍冷藏股份有限公司南投廠","南投縣南投市南崗工業區工業北路2號","99652357","M-123641978-00001-1","食用油脂、罐頭食品製造業","105/08/22~107/03/10"
"新東陽股份有限公司大園廠","桃園市大園區大工路11號","99622512","H-115319335-00001-6","罐頭食品製造業、食用油脂","105/08/22~107/03/10"
"川岳生物科技股份有限公司","臺南市仁德區保安里文賢路一段510號","99684933","D-127609181-00001-6","特殊營養食品製造業、乳品加工食品業","105/08/22~107/03/10"
"奕瑪國際行銷股份有限公司營養生技廠","新北市新莊區五權一路9號7樓之2","65002612","F-112777300-00001-1","特殊營養食品製造業、乳品加工食品業","105/08/22~107/03/10"
"義美食品股份有限公司南崁廠","桃園市蘆竹鄉長興村13鄰南工路一段11號","99621475","H-111768704-00001-0","食用油脂、罐頭食品製造業、乳品加工食品業","105/08/22~107/03/10"
"味全食品工業股份有限公司斗六廠","雲林縣斗六市長平里長林路11號","99653178","P-111347802-00003-2","乳品加工食品業、特殊營養食品製造業、罐頭食品製造業","105/08/22~107/03/10"
"佳乳食品股份有限公司","新竹縣湖口鄉湖南村光復路7號","99630321","J-116841401-00001-3","乳品加工食品業、特殊營養食品製造業、罐頭食品製造業","105/08/22~107/03/10"
"三友生技醫藥股份有限公司製藥廠","臺南市後壁區福安里下寮路207之3號","99711428","D-189884975-00001-0","特殊營養食品製造業、乳品加工食品業","105/08/22~107/03/10"
"蒙特利生物科技股份有限公司","彰化縣溪州鄉溪州村俊智路123、237號","99645495","N-116524973-00001-9","特殊營養食品製造業、乳品加工食品業","105/08/22~107/03/10"
"味全食品工業股份有限公司台中廠","臺中市霧峰區萬豐里中正路266號","99634038","B-111347802-00001-6","罐頭食品製造業、食品添加物製造業、乳品加工食品業","105/08/22~107/03/10"
"佳格食品股份有限公司","桃園市大園區溪海里和平西路一段369號","99623620","H-122102473-00001-7","食用油脂、罐頭食品製造業、特殊營養食品製造業、乳品加工食品業","105/08/22~107/03/10"
"維他露食品股份有限公司三廠","臺中市西屯區協和里工業區八路16號","99671719","B-151821108-00002-7","罐頭食品製造業","105/08/22~107/03/10"
"泰成粉廠股份有限公司","高雄市燕巢區橫山里橫山路７５號","99662705","E-175424509-00001-9","麵粉製造業","105/09/21~107/09/20"
"僑泰興企業股份有限公司楊梅廠","桃園市楊梅區富豐里民安路2巷150弄8號","03000472","H-124085909-00002-4","麵粉製造業","105/09/21~107/09/20"
"台灣糖業股份有限公司虎尾糖廠大林工場","嘉義縣大林鎮大糖里399號","99655810","Q-103794905-00052-8","糖製造業","105/09/21~107/09/20"
"台灣糖業股份有限公司小港廠","高雄市小港區小港路133號","64000167","E-103794905-00044-7","糖製造業","105/09/21~107/09/20"
"豐盟企業股份有限公司中洲廠","臺南市仁德區中洲里中洲306之2號","99656524","D-169261633-00001-8","麵粉製造業","105/09/21~107/09/20"
"台灣大食品股份有限公司工廠","臺中市清水區海濱里北堤路35號","99704465","B-180677145-00001-8","麵粉製造業","105/09/21~107/09/20"
"味榮食品工業股份有限公司","臺中市豐原區三村里西勢路七○一號","99634791","B-105698174-00001-0","其他","105/09/21~107/09/20"
"泰和製粉廠股份有限公司","臺中市大肚區頂街里紙廠路60號","99638674","B-156210400-00001-8","麵粉製造業","105/09/21~107/09/20"
"台榮產業股份有限公司雲林廠","雲林縣虎尾鎮惠來里惠來一一二號","99653518","P-103543210-00001-2","澱粉製造業","105/09/21~107/09/20"
"臺灣可果美股份有限公司","臺南市善化區小新里小新營394號","99658954","D-171620635-00001-2","罐頭食品製造業","105/09/21~107/09/20"
"金車股份有限公司員山廠","宜蘭縣員山鄉蓁巷村員山路二段326號","99620282","G-105007903-00022-2","其他、罐頭食品製造業","105/09/21~107/09/20"
"台灣欣達食品股份有限公司","桃園市觀音區草漯里大同一路17-1號","03002305","H-153896815-00001-1","罐頭食品製造業","105/09/21~107/09/20"
"晉安製藥股份有限公司","嘉義縣民雄鄉福樂村建國路三段260巷9號","99655669","Q-165607901-00001-9","罐頭食品製造業","105/09/21~107/09/20"
"統萬股份有限公司","臺南市新市區大營里大營7之2號","99658927","D-123527408-00001-3","醬油製造業","105/09/21~107/09/20"
"卡羅國際企業股份有限公司","新北市汐止區康寧街157、159、161號7樓","65000530","F-114015243-00001-4","食品添加物製造業","105/09/21~107/09/20"
"宏全國際股份有限公司中港分公司","臺中市梧棲區中港加工出口區經三路11號","90C00023","B-170849247-00001-1","罐頭食品製造業","105/09/21~107/09/20"
"高慶泉股份有限公司南投廠","南投縣南投市工業北三路二號","99652094","M-123004247-00001-3","醬油製造業","105/09/21~107/09/20"
"華南食品工業股份有限公司","南投縣南投市永豐里自立一路9號11號","99652380","M-161772289-00003-5","食鹽製造業、罐頭食品製造業","105/09/21~107/09/20"
"開元食品工業股份有限公司觀音廠","桃園市觀音區樹林里經建一路28號","99622096","H-142612538-00002-8","乳品加工食品業","105/09/21~107/09/20"
"統一企業股份有限公司永康食品廠","臺南市永康區塩行里中正路301號A區","99656729","D-173251209-00003-3","其他、食用油脂製造業 、麵粉製造業","105/09/21~107/09/20"
"三皇生物科技股份有限公司善化總廠","臺南市善化區坐駕里成功路427號","99657148","D-112693371-00001-4","罐頭食品製造業","105/11/16~107/11/15"
"長輝事業股份有限公司","高雄市湖內區湖內里中山路一段110號","64007215","E-197140061-00001-1","食用油脂製造業","105/11/16~107/11/15"
"福成醬園","臺南市佳里區佳化里佳里興46之2號","T6700113","D-174718942-00001-4","罐頭食品製造業","105/11/16~107/11/15"
"裕大農業生技股份有限公司","新竹縣關西鎮東安里中豐路一段222巷13號","99630833","J-147007757-00001-5","罐頭食品製造業","105/11/16~107/11/15"
"囿褔有限公司","雲林縣西螺鎮大園里大園街五四號","99653388","P-123978114-00001-9","罐頭食品製造業","105/11/16~107/11/15"
"楊堃興業有限公司","新北市新莊區雙鳳路111號6樓","65001937","F-186285357-00003-0","食品添加物製造業","105/11/16~107/11/15"
"老協珍股份有限公司","新北市八里區中山路2段66號3樓","99718617","F-129035400-00001-7","罐頭食品製造業","105/11/16~107/11/15"
"台灣糖業股份有限公司善化糖廠","臺南市善化區溪美里310號","99656355","D-103794905-00062-6","糖製造業","105/11/16~107/11/15"
"上芳食品股份有限公司","屏東縣九如鄉東寧村東寧路3號","99699523","T-122394669-00001-9","罐頭食品製造業","105/11/16~107/11/15"
"豐盈股份有限公司林口廠","桃園市龜山區公西里頂湖一街四七號","99622781","H-189953466-00001-6","乳品加工食品業","105/11/16~107/11/15"
"福星食品有限公司","新北市三重區興德路141巷1號及3號(各1、2、3樓)","65001841","F-186526638-00001-8","乳品加工食品業","105/11/16~107/11/15"
"互茂企業有限公司","臺中市西屯區大河里福上巷197弄8號","66001167","B-153805104-00001-6","罐頭食品製造業","105/11/16~107/11/15"
"雙聖農產品加工廠","南投縣草屯鎮玉屏路131號","99-652668-00","M-177384356-00001-4","罐頭食品製造業","105/11/16~107/11/15"
"昌臨實業股份有限公司一廠","臺中市西屯區協和里工業區三十五路20號","99670024","B-123101590-00001-1","罐頭食品製造業","105/11/16~107/11/15"
"味全食品工業股份有限公司台中廠","臺中市霧峰區萬豐里中正路266號","99-634038-00","B-111347802-00001-6","肉類加工食品業、乳品加工食品業、其他、醬油製造業、罐頭食品製造業","105/11/16~107/11/15"
"東和食品工業股份有限公司","宜蘭縣五結鄉福興村五結路三段四八九號","99620395","G-141655501-00001-2","水產食品業、餐盒食品工廠、罐頭食品製造業","105/11/16~107/11/15"
"德久食品有限公司","花蓮縣花蓮市民心里美工路9號","99704648","U-128069802-00001-4","罐頭食品製造業","105/11/16~107/11/15"
"匯竑國際股份有限公司","雲林縣斗六市溪洲里科加六路１８號","99709574","P-180727665-00001-5","罐頭食品製造業","105/11/16~107/11/15"
"華祥理化工業股份有限公司","高雄市大寮區鳳林二路908巷15號","99-663002-00","E-183405175-00001-6","食品添加物製造業","105/11/16~107/11/15"
"金車股份有限公司平鎮廠","桃園市平鎮區平鎮里中興路平鎮段五二七號","99621244","H-105007903-00001-0","其他、罐頭食品製造業","105/11/16~107/11/15"
"陸仕企業股份有限公司屏東廠","屏東縣內埔鄉上樹村北寧路2段88號","99665546","T-183414913-00001-1","罐頭食品製造業","105/11/16~107/11/15"
"三鷹食品有限公司","嘉義縣民雄鄉寮頂村頂寮６６之５號","99655552","Q-166538018-00001-2","罐頭食品製造業","105/11/16~107/11/15"
"臺鹽實業股份有限公司通霄精鹽廠","苗栗縣通霄鎮內島里122號","99-631578-02","K-189397503-00002-4","食鹽製造業","105/11/16~107/11/15"
"南嘉有限公司台北廠","新北市汐止區福德一路三九二巷五號","99619638","F-111454725-00001-3","食品添加物製造業","105/09/06~107/09/05"
"薩摩亞商寶宏國際實業股份有限公司台灣分公司","新北市瑞芳區明燈路三段209號","65003186","F-127944495-00001-8","乳品加工食品業","105/09/06~107/09/05"
"洽發企業股份有限公司","臺中市清水區南寧里中清路八段715號","99640647","B-156186014-00001-1","麵粉製造業","105/09/06~107/09/05"
"三商行股份有限公司大園廠","桃園市大園區北港里工一路九號","99686378","H-154397181-00367-6","肉類加工食品業","105/09/07~107/09/06"
"漢田生技股份有限公司 中山廠","彰化縣員林市中山路一段60 號","99680607","N-128814153-00004-7","罐頭食品製造業","105/09/20~107/09/19"
"台灣綠藻工業股份有限公司龍泉廠","屏東縣內埔鄉龍泉村金陵路212號","99665610","T-103563307-00002-6","罐頭食品製造業","105/08/10~107/08/09"
"國興麵粉廠股份有限公司","臺中市大肚區福山里沙田路一段三七三號","99638427","B-157145006-00001-8","麵粉製造業","105/09/22~107/09/21"
"國成麵粉股份有限公司","桃園市楊梅區富豐里富豐南路22號","99-706728-00","H-128513939-00001-6","麵粉製造業","105/08/10~107/08/09"
"統皓食品股份有限公司五股廠","新北市五股區五權路四九號三樓","99614804","F-197212331-00001-2","其他、餐盒食品工廠、罐頭食品製造業","105/09/22~107/09/21"
"萬家香醬園股份有限公司屏東廠","屏東縣內埔鄉中林村大同路5段88號","99665642","T-135426782-00001-5","醬油製造業","105/10/05~107/10/04"
"東陽穀物股份有限公司","臺中市烏日區榮泉里中山路三段720號","99634603","B-151401008-00001-9","麵粉製造業","105/10/04~107/10/03"
"台灣糖業股份有限公司虎尾糖廠","雲林縣虎尾鎮中山路２號","99653697","P-103794905-00051-6","糖製造業","105/10/18~107/10/17"
"九鼎欣業有限公司","雲林縣斗六市榴南里斗工二路76號","09000526","P-128357970-00003-7","食品添加物製造業","105/10/25~107/10/24"
"勝騰食品股份有限公司","臺南市永康區王行里環工路3號","99657543","D-186836726-00001-8","乳品加工食品業","105/10/30~107/10/29"
"全久榮企業股份有限公司","臺南市歸仁區崙頂里凱旋路2段211巷35號","99711282","D-180114011-00001-8","罐頭食品製造業","105/11/10~107/11/09"
"瑞春醬油有限公司福田廠","雲林縣西螺鎮福田里社口68-31號","09000241","P-112629131-00001-9","醬油製造業","105/11/08~107/11/07"
"大豐麵粉廠股份有限公司","臺中市東區樂成里東光園路３４５號","99669057","B-151073906-00001-1","麵粉製造業","105/11/08~107/11/07"
"福松食品股份有限公司","屏東縣屏東市華山里大連路20巷43號","99666003","T-190701799-00001-0","罐頭食品製造業","105/11/08~107/11/07"
"惠眾食品工業股份有限公司","宜蘭縣蘇澳鎮隘丁里信義路270巷12弄6號","99620451","G-141801407-00001-0","水產食品業","105/11/10~107/11/09"
"味王股份有限公司豐田廠","雲林縣大埤鄉嘉興村豐田路14號","99653390","P-107067309-00001-6","其他、食品添加物製造業、醬油製造業、罐頭食品製造業","105/11/08~107/11/07"
"四川土產股份有限公司鶯歌廠","新北市鶯歌區中正三路二三０巷一九之一號","99690892","F-127013400-00001-1","罐頭食品製造業","105/11/11~107/11/10"
"英屬維京群島商太古可口可樂股份有限公司台灣分公司桃園廠","桃園市桃園區大林里興邦路４６號","99623209","H-180033073-00001-0","罐頭食品製造業","105/11/15~107/11/14"
"鮑參翅食品有限公司","臺北市士林區永倫里延平北路六段四五八號1、2樓","63022200","A-180287527-00001-8","水產食品業、罐頭食品製造業","105/11/08~107/11/07"
"協發產業股份有限公司","桃園市中壢區復興里自強二路８號","99626850","H-144654007-00001-6","麵粉製造業","105/11/17~107/11/16"
"狀元醬油股份有限公司","臺中市大肚區福山里沙田路一段388巷35之9號","99633299","B-122238160-00001-4","醬油製造業、罐頭食品製造業","105/11/19~107/11/18"
"速易達國際開發有限公司","高雄市路竹區東安路36巷1078號","64006842","E-179993849-00001-1","乳品加工食品業","105/11/23~107/11/22"
"會昌實業股份有限公司屏東分公司","屏東縣長治鄉德和村6鄰園西二路38號2樓","81100025","T-104208143-00001-0","罐頭食品製造業","105/11/16~107/11/15"
"日光食品工廠股份有限公司","臺中市大甲區岷山里中山路一段九一二、九一二之一號","99633759","B-155716887-00001-7","乳品加工食品業、罐頭食品製造業","105/12/28~107/12/27"
"開元食品工業股份有限公司觀音二廠","桃園市觀音區樹林里經建一路32號","99-687850","H-142612538-00001-7","乳品加工食品業","106/01/06~108/01/05"
"義美食品股份有限公司龍潭廠","桃園市龍潭區九龍里中興路九龍段129巷91號、桃園市平鎮區東勢里東勢3之2號、桃園市平鎮區東勢里中興路九龍段155號","99621474","H-111768704-00002-1","食用油脂製造業","106/01/06~108/01/05"
"久芳興業有限公司東山廠","臺南市東山區聖賢里頂窩68號","T6700038","D-122247837-00001-7","食品添加物製造業","106/01/11~108/01/10"
"台灣海洋深層水股份有限公司","花蓮縣花蓮市民心里華東１５號","99704616","U-128223066-00001-8","食鹽製造業","106/01/06~108/01/05"
"南投縣農會食品廠","南投縣南投市平山里南崗三路一號","99652017","M-161215806-00001-0","食用油脂製造業","106/01/21~108/01/20"
"華冠乳品股份有限公司","臺中市烏日區前竹里中山路一段２６５巷５號","99704141","B-180610530-00001-3","乳品加工食品業","106/02/22~108/02/21"
"安德魯紳有限公司","屏東縣萬丹鄉磚寮村大昌路952號","T1300195","T-170419324-00003-0","肉類加工食品業、食品添加物製造業","106/03/07~108/03/06"
"佳格食品股份有限公司","桃園市大園區溪海里和平西路一段369號","99623620","H-122102473-00001-7","乳品加工食品業、食用油脂製造業 、特殊營養食品製造業、罐頭食品製造業","106/05/17~108/05/16"
"統一企業股份有限公司新巿廠","臺南市新市區大營里大營7號","99657996","D-173251209-00002-2","肉類加工食品業、乳品加工食品業、罐頭食品製造業","106/05/27~108/05/26"
"統一企業股份有限公司瑞芳廠","新北市瑞芳區濱二路27-3號","99604005","F-173251209-00011-4","其他","106/06/17~108/06/16"
"統一企業股份有限公司-永康冰品廠","臺南市永康區經中路1號","99657994","D-173251209-00005-5","其他","106/06/17~108/06/16"
"統一企業股份有限公司","新北市五股區五工一路131號3樓","65000332","F-173251209-00012-5","其他","106/06/17~108/06/16"
"統一企業股份有限公司麻豆廠","臺南市麻豆區麻口里麻豆口1之30號","99657995","D-173251209-00004-4","其他","106/07/05~108/07/04"
"統一企業股份有限公司-新營冷調廠","臺南市新營區工業街83號","99657569","D-173251209-00006-6","肉類加工食品業、其他","106/07/05~108/07/04"
"統一企業股份有限公司新竹湖口廠","新竹縣湖口鄉長嶺村八德路三段30號","04000293","J-173251209-00009-5","其他","106/07/05~108/07/04"
"統一企業股份有限公司中壢廠","桃園市中壢區定寧路１５號","99623375","H-173251209-00010-5","其他","106/08/01~108/07/31"
"宏全國際股份有限公司無菌飲料二廠","臺中市梧棲區草湳里中港加工出口區大業路6號","90C00051","B-158176511-00001-4","罐頭食品製造業","106/09/06~108/09/05"
"佳格食品股份有限公司中壢廠","桃園市中壢區吉林路13號","99-623247-00","H-122102473-00002-8","乳品加工食品業、罐頭食品製造業","106/09/16~108/09/15"
"黑松股份有限公司中壢廠","桃園市中壢區永福里中園路一七八號","99621186","H-120651901-00001-0","罐頭食品製造業","106/10/28~108/10/27"
"黑松股份有限公司斗六廠","雲林縣斗六市八德里文化路６３５號","99653050","P-120651901-00002-9","罐頭食品製造業","106/10/28~108/10/27"
"金衣生命科學股份有限公司中科分公司","臺中市大雅區秀山里科雅路37號4樓","93-A00247","B-113139554-00003-3","食品添加物製造業","105/12/29~107/12/28"
"統大食品有限公司","高雄市鳥松區仁美里美山路36巷1之13號","99-721567-00","E-128894590-00001-8","食品添加物製造業","106/02/07~108/02/06"
"資川有限公司嘉義廠","嘉義縣六腳鄉蘇厝村蘇厝寮145之19號","99655458","Q-122208715-00001-2","食品添加物製造業","106/02/07~108/02/06"
"久芳生物科技股份有限公司","臺南市柳營區工二路8號","67-001038","D-153265319-00001-6","食品添加物製造業","106/02/15~108/02/14"
"亞世佳食品股份有限公司","雲林縣斗六市榴中里民有街六號","99653548","P-116938714-00001-3","乳品加工食品業","106/02/18~108/02/17"
"昌弘食研有限公司","臺中市西屯區永輝路89巷11號","53985909","B-153985909-00001-8","食品添加物製造業","106/02/22~108/02/21"
"愛如蜜食品工業股份有限公司中壢工廠","桃園市中壢區西園路一０五號","99621785","H-115460023-00002-8","乳品加工食品業","106/02/22~108/02/21"
"州海企業有限公司第一廠","臺南市安平區平安里安平路550巷32號","99673354","D-169842415-00001-1","食品添加物製造業","106/02/22~108/02/21"
"佳里企業有限公司","雲林縣斗六市榴南里斗工二路十八號","99654310","P-189881908-00001-5","食品添加物製造業","106/02/23~108/02/22"
"捷源生化科技股份有限公司","高雄市前鎮區新展路8號","64-006171-00","E-124506660-00001-2","食品添加物製造業","106/03/07~108/03/06"
"金蘭食品股份有限公司埔頂工廠","桃園市大溪區仁善里介壽路二三六號","99624650","H-143008609-00001-6","醬油製造業","106/03/07~108/03/06"
"麗豐實業股份有限公司二廠","臺南市官田區二鎮里工業路48號B棟","67001520","D-186973523-00003-7","食品添加物製造業、特殊營養食品製造業","106/03/07~108/03/06"
"花源香精廠有限公司","桃園市蘆竹區內厝里南山路二段205巷11.15號","03002254","H-135910440-00001-2","食品添加物製造業","106/03/07~108/03/06"
"樺興化學工業有限公司","新北市新莊區化成路389巷18號","99610519","F-135940916-00001-1","食品添加物製造業","106/03/07~108/03/06"
