年份,現職單位職稱,姓名,性別,備註
"105-107","法務部調查局科長","闕山仲","男","委員"
"105-107","法務部調查局調查官","王鐘鋒","男","委員"
"105-107","內政部警政署刑事警察局研究員","謝金霖","男","委員"
"105-107","國立成功大學工業衛生學科暨環境醫學研究所教授","廖寶琦","男","委員"
"105-107","高雄醫學大學運動醫學系教授","許美智","女","委員"
"105-107","中興大學化學系特聘教授兼理學院院長","李茂榮","男","委員"
"105-107","中央警察大學鑑識科學學系教授","王勝盟","男","委員"
"105-107","","桂椿雄","男","委員"
"105-107","國立臺灣大學化學系教授","何國榮","男","委員"
"105-107","食品藥物管理署研究檢驗組簡任技正","陳玉盆","女","委員"
"105-107","中國醫藥大學職業安全與衛生學系教授","王文忻","女","委員"
"105-107","清華大學化學系教授","凌永健","男","委員"
"105-107","","楊明玉","女","委員"
"105-107","屏東科技大學農園生產系教授","賴宏亮","男","委員"
"105-107","正修科技大學妝彩系教授","黃平志","男","委員"
