年份,委員姓名,性別,專長,備註
"104","陳輝煌","男","食品科學、食品品質管理","召集人"
"104","趙振瑞","女","營養生化學、保健食品研究",""
"104","黃鈺生","男","藥政管理、消費者保護",""
"104","江文章","男","食品科學、營養保健",""
"104","黃韶顏","女","餐飲教育、餐飲行銷",""
"104","蘇以文","女","語言學",""
"104","郭武憲","男","醫學、腸胃科學",""
"104","邱錦英","女","食品科學",""
"104","劉建宏","男","行政法、憲法、訴願法、行政訴訟法",""
"104","莊伯仲","男","傳播科技、廣告學、網路行銷",""
"104","林維國","男","廣電媒體研究、新媒體研究、電訊傳播",""
"104","余萬能","男","醫療衛生法律、藥事",""
"104","曾明淑","女","公共衛生營養、營養調查、營養教育",""
"104","施明智","男","營養學、食品加工",""
"104","黃國晉","男","營養醫學、家庭醫學",""
