UNIQUE_IDENTIFIER,PRODUCT_TYPE,DATE_OF_EXPIRATION,DATE_OF_APPROVAL
"MON-8746Ø-4xMON-ØØ6Ø3-6","Stacked trait","2022-07-27","2012-07-27"
"SYN-BTØ11-1xSYN-IR162-4xDAS-Ø15Ø7-1xMON-ØØØ21-9","Stacked trait","2021-10-14","2011-10-14"
"DP-3Ø5423-1xMON-Ø4Ø32-6","Stacked trait","2022-06-11","2012-06-11"
"MON-877Ø1-2xMON-89788-1","Stacked trait","2017-09-24","2012-09-24"
"DAS-Ø15Ø7-1xDAS-59122-7xMON-ØØ81Ø-6xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","Stacked trait","2022-07-27","2012-07-27"
"SYN-BTØ11-1xDAS-59122-7xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xMON-ØØØ21-9","Stacked trait","2022-07-27","2012-07-27"
"MON-8746Ø-4xMON-89Ø34-3xMON-ØØ6Ø3-6","Stacked trait","2022-07-27","2012-07-27"
"MON-8746Ø-4xMON-89Ø34-3xMON-88Ø17-3","Stacked trait","2022-07-27","2012-07-27"
"BPS-CV-127-9","Single trait","2018-04-16","2013-04-16"
"MON-877Ø5-6","Single trait","2018-02-08","2013-02-08"
"SYN-Ø53Ø7-1","Single trait","2017-12-17","2012-12-17"
"ACS-GMØØ6-4","Single trait","2020-08-31","2010-08-31"
"ACS-GMØØ5-3","Single trait","2022-05-01","2007-05-01"
"MON-87427-7","Single trait","2017-10-24","2012-10-24"
"ACS-BNØØ5-8xACS-BNØØ3-6","Stacked trait","2020-06-26","2015-06-26"
"MON-Ø1445-2","Single trait","2020-06-13","2015-06-13"
"DP-ØØ4114-3xMON-ØØ81Ø-6xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","Stacked trait","2020-08-03","2015-08-03"
"MON-ØØ531-6","Single trait","2020-06-08","2015-06-08"
"MON-89Ø34-3xMON-88Ø17-3","Stacked trait","2019-02-17","2009-02-17"
"MON-887Ø1-3","Single trait","2021-01-18","2016-01-18"
"MON-883Ø2-9","Single trait","2020-12-21","2015-12-21"
"DAS-Ø15Ø7-1xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","Stacked trait","2021-12-01","2011-12-01"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-88Ø17-3xDAS-59122-7xDAS-4Ø278-9","Stacked trait","2019-05-07","2014-05-07"
"MON-877Ø8-9","Single trait","2018-04-02","2013-04-02"
"ACS-ZMØØ3-2","Single trait","2022-08-16","2002-08-16"
"MON-8746Ø-4","Single trait","2021-11-03","2011-11-03"
"SYN-E3272-5","Single trait","2020-07-26","2010-07-26"
"MON-87427-7xMON-89Ø34-3xMON-ØØ6Ø3-6","Stacked trait","2019-01-14","2014-01-14"
"MON-87427-7xMON-89Ø34-3xMON-88Ø17-3","Stacked trait","2019-01-14","2014-01-14"
"MON-87751-7","Single trait","2021-01-29","2016-01-29"
"SYN-BTØ11-1xSYN-IR162-4","Stacked trait","2020-03-04","2015-03-04"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xSYN-IR162-4","Stacked trait","2020-01-20","2015-01-20"
"DAS-81419-2","Single trait","2020-05-05","2015-05-05"
"MST-FGØ72-2xACS-GMØØ6-4","Stacked trait","2021-05-13","2016-05-13"
"DAS-68416-4xMON-89788-1","Stacked trait","2020-02-26","2015-02-26"
"BCS-GHØØ2-5xACS-GHØØ1-3xMON-15985-7","Stacked trait","2020-12-14","2015-12-14"
"BCS-GHØØ5-8","Single trait","2020-04-19","2015-04-19"
"BCS-GHØØ2-5","Single trait","2020-04-19","2015-04-19"
"MON-87769-7xMON-89788-1","Stacked trait","2020-06-26","2015-06-26"
"ACS-GHØØ1-3xMON-15985-7","Stacked trait","2020-12-14","2015-12-14"
"BCS-GHØØ2-5xBCS-GHØØ4-7xBCS-GHØØ5-8","Stacked trait","2020-08-19","2015-08-19"
"MON-ØØØ73-7","Single trait","2020-06-08","2015-06-08"
"MON-15985-7","Single trait","2020-05-25","2015-05-25"
"ACS-BNØØ5-8","Single trait","2020-03-18","2015-03-18"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-ØØ6Ø3-6xDAS-4Ø278-9","Stacked trait","2020-01-20","2015-01-20"
"SYN-E3272-5xSYN-BTØ11-1xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xSYN-Ø53Ø7-1xMON-ØØØ21-9","Stacked trait","2020-05-05","2015-05-05"
"MON-88913-8","Single trait","2020-05-25","2015-05-25"
"SYN-BTØ11-1xSYN-IR162-4xSYN-IR6Ø4-5xMON-ØØØ21-9","Stacked trait","2021-05-30","2011-05-30"
"ACS-GHØØ1-3","Single trait","2020-04-19","2015-04-19"
"MON-87411-9","Single trait","2020-08-17","2015-08-17"
"SYN-IR1Ø2-7","Single trait","2020-01-20","2015-01-20"
"ACS-BNØØ3-6","Single trait","2020-03-17","2015-03-17"
"SYN-E3272-5xSYN-BTØ11-1xSYN-IR6Ø4-5xMON-ØØØ21-9","Stacked trait","2021-09-05","2011-09-05"
"MON-89Ø34-3","Single trait","2018-07-25","2008-07-25"
"DAS-4Ø278-9","Single trait","2021-11-07","2011-11-07"
"MON-877Ø8-9xMON-89788-1","Stacked trait","2019-09-24","2014-09-24"
"BCS-GHØØ2-5xBCS-GHØØ4-7xBCS-GHØØ5-8xSYN-IR1Ø2-7","Stacked trait","2021-02-05","2016-02-05"
"MON-87419-8","Single trait","2022-06-02","2017-06-02"
"SYN-BTØ11-1xDAS-Ø15Ø7-1xMON-ØØØ21-9","Stacked trait","2021-06-08","2016-06-08"
"SYN-IR1Ø2-7xMON-15985-7xMON-88913-8","Stacked trait","2021-01-21","2016-01-21"
"DAS-24236-5xDAS-21Ø23-5","Stacked trait","2020-12-14","2015-12-14"
"DAS-24236-5","Single trait","2020-11-12","2015-11-12"
"DAS-21Ø23-5","Single trait","2020-11-12","2015-11-12"
"BCS-GHØØ4-7","Single trait","2020-07-02","2015-07-02"
"MON-88913-8xMON-15985-7","Stacked trait","2020-12-10","2015-12-10"
"MON-ØØ531-6xMON-Ø1445-2","Stacked trait","2020-12-12","2015-12-12"
"MON-877Ø5-6xMON-89788-1","Stacked trait","2019-09-04","2014-09-04"
"BCS-GHØØ2-5xACS-GHØØ1-3","Stacked trait","2020-12-14","2015-12-14"
"DAS-444Ø6-6","Single trait","2019-09-04","2014-09-04"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","Stacked trait","2019-09-02","2014-09-02"
"DP-Ø73496-4","Single trait","2021-05-13","2016-05-13"
"MON-ØØØ21-9","Single trait","2018-07-23","2008-07-23"
"MON-ØØØ21-9xACS-ZMØØ3-2","Stacked trait","2019-11-21","2014-11-21"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6","Stacked trait","2019-11-20","2014-11-20"
"MON-87427-7xMON-89Ø34-3xSYN-IR162-4xMON-ØØ6Ø3-6","Stacked trait","2021-05-05","2016-05-05"
"ACS-BNØØ5-8xACS-BNØØ3-6xMON-ØØØ73-7","Stacked trait","2021-04-22","2016-04-22"
"DAS-81419-2xDAS-444Ø6-6","Stacked trait","2021-07-12","2016-07-12"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-ØØ6Ø3-6","Stacked trait","2021-08-22","2011-08-22"
"MON-877Ø1-2","Single trait","2021-07-06","2011-07-06"
"DP-3Ø5423-1","Single trait","2020-07-23","2010-07-23"
"SYN-IR162-4","Single trait","2019-04-20","2009-04-20"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xSYN-IR162-4xMON-ØØ6Ø3-6","Stacked trait","2018-05-02","2013-05-02"
"MST-FGØ72-2","Single trait","2018-12-24","2013-12-24"
"DAS-Ø15Ø7-1xMON-ØØ6Ø3-6","Stacked trait","2019-12-02","2009-12-02"
"DAS-68416-4","Single trait","2018-12-16","2013-12-16"
