UNIQUE_IDENTIFIER,PRODUCT_TYPE,DATE_OF_EXPIRATION,DATE_OF_APPROVAL
"SYN-BTØ11-1xSYN-IR162-4xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xSYN-Ø53Ø7-1xMON-ØØØ21-9","Stacked trait","2018-10-15","2013-10-15"
"MON-ØØ6Ø3-6xDAS-4Ø278-9","Stacked trait","2018-10-29","2013-10-29"
"SYN-ØØØH2-5","Single trait","2019-03-28","2014-03-28"
"SYN-BTØ11-1xSYN-IR162-4xMON-ØØØ21-9","Stacked trait","2021-05-30","2011-05-30"
"DAS-Ø15Ø7-1xDAS-59122-7xMON-ØØ6Ø3-6","Stacked trait","2019-12-15","2009-12-15"
"SYN-IR6Ø4-5xMON-ØØØ21-9","Stacked trait","2019-08-03","2009-08-03"
"MON-ØØ6Ø3-6xACS-ZMØØ3-2","Stacked trait","2021-05-30","2011-05-30"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-88Ø17-3xDAS-59122-7","Stacked trait","2019-10-12","2009-10-12"
"DAS-59122-7xMON-ØØ6Ø3-6","Stacked trait","2021-01-03","2011-01-03"
"SYN-BTØ11-1xMON-ØØØ21-9","Stacked trait","2019-08-03","2009-08-03"
"SYN-BTØ11-1xSYN-IR6Ø4-5","Stacked trait","2019-08-03","2009-08-03"
"MON-88Ø17-3xMON-ØØ81Ø-6","Stacked trait","2019-02-17","2009-02-17"
"MON-89Ø34-3xMON-ØØ6Ø3-6","Stacked trait","2019-02-17","2009-02-17"
"MON-89788-1","Single trait","2017-12-28","2007-12-28"
"SYN-BTØ11-1","Single trait","2018-06-02","2004-06-02"
"MON-ØØ6Ø3-6","Single trait","2018-04-11","2003-04-11"
"DAS-Ø15Ø7-1xDAS-59122-7","Stacked trait","2019-12-15","2009-12-15"
"MON-ØØ81Ø-6xMON-ØØ6Ø3-6","Stacked trait","2019-02-17","2009-02-17"
"DAS-Ø15Ø7-1","Single trait","2018-11-17","2003-11-17"
"MON-ØØ81Ø-6","Single trait","2017-10-15","2002-10-15"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xMON-ØØ6Ø3-6","Stacked trait","2021-05-30","2011-05-30"
"MON-88Ø17-3","Single trait","2021-03-20","2006-03-20"
"DAS-59122-7","Single trait","2020-12-21","2005-12-21"
"MON-Ø4Ø32-6","Single trait","2022-07-22","2002-07-22"
"SYN-IR6Ø4-5","Single trait","2017-10-22","2007-10-22"
"MON-87427-7xMON-89Ø34-3xDAS-Ø15Ø7-1xMON-88Ø17-3xDAS-59122-7","Stacked trait","2019-05-07","2014-05-07"
"DP-ØØ4114-3","Single trait","2019-06-27","2014-06-27"
"MON-87769-7","Single trait","2018-12-16","2013-12-16"
"KM-ØØØH71-4","Single trait","2020-12-14","2015-12-14"
"DAS-8191Ø-7","Single trait","2021-08-22","2016-08-22"
"DAS-Ø15Ø7-1xDAS-59122-7xMON-ØØ81Ø-6xMON-ØØ6Ø3-6","Stacked trait","2021-05-30","2011-05-30"
"SYN-BTØ11-1xSYN-IR6Ø4-5xMON-ØØØ21-9","Stacked trait","2019-08-03","2009-08-03"
"SYN-BTØ11-1xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xSYN-Ø53Ø7-1xMON-ØØØ21-9","Stacked trait","2018-09-10","2013-09-10"
"SYN-EV176-9","Single trait","2018-06-02","2004-06-02"
