年度,檢體名稱,抽樣廠商名稱,抽樣廠商地址,產地,重金屬檢測殘留量鎘含量_單位ppm,重金屬檢測殘留量汞含量_單位ppm,重金屬檢測殘留量鉛含量_單位ppm,檢驗結果
"100","白米","新峯碾米工廠","苗栗縣苗栗市嘉盛里育英街23號","台灣","0.02","0.003","0.02","合格"
"100","白米","潭子區農會供銷部","臺中市潭子區雅潭路二段382號","台灣","0.06","0.005","0.03","合格"
"100","台灣好米-蓬萊白米","台中市大甲區農會","臺中市大甲區頂店里中山路一段1372號","台灣","0.08","0.003","0.03","合格"
"100","葫蘆墩米(台粳16號)","豐原市農會供銷部","臺中市豐原區豐勢路二段819巷40號","台灣","0.07","0.004","0.02","合格"
"100","上品米","梧棲農會超市","臺中市梧棲區文化路二段85號","台灣","0.03","0.002","0.03","合格"
"100","山水胚芽糙米","大買家股份有限公司","臺中市大里區國光路二段710號","台灣","0.09","0.004","0.02","合格"
"100","白米","大雅區農會","臺中市大雅區雅潭路田心巷21號","台灣","0.06","0.003","0.02","合格"
"100","純正葫蘆墩米","大雅區農會","臺中市大雅區雅潭路田心巷21號","台灣","0.05","0.003","0.02","合格"
"100","馬玉山十二穀","全聯實業股份有限公司台中文華分公司","臺中市西屯區河南路125、127號","台灣","0.01","0.002","0.01","合格"
"100","頭等倉白米","台中市農會供銷部","臺中市西區向上路一段95號","台灣","0.05","0.003","0.02","合格"
"100","白米","神崗區農會供銷部","臺中市神崗區光啟路126號","台灣","0.03","0.003","0.02","合格"
"100","秈米","台中市沙鹿區農會","臺中市沙鹿區興安里沙田路131號","台灣","0.06","0.003","0.02","合格"
"100","食用米","台中市大里區農會草湖倉庫","臺中市大里區西湖路116號","台灣","0.03","0.002","0.01","合格"
"100","米","豐原區農會","臺中市豐原區豐勢路二段819巷40號","台灣","0.05","0.005","0.02","合格"
"100","大甲有機米","大甲區農會供銷部","臺中市大甲區頂店里中山路一段1372號","台灣","0.01","0.002","0.02","合格"
"100","食米","金連春實業股份有限公司","彰化縣花壇鄉中山路一段194號","台灣","0.03","0.002","0.02","合格"
"100","蓬萊米","和豐碾米工廠","彰化縣鹿港鎮鹿和路一段411號","台灣","0.03","0.003","0.01","合格"
"100","蓬萊米","儀立碾米廠","彰化縣鹿港鎮鹿草路二段814號","台灣","0.05","0.003","0.02","合格"
"100","蓬來米","達記碾米工廠","彰化縣埔心鄉舊館村興霖路9號","台灣","0.05","0.002","0.02","合格"
"100","秈稻米","達記碾米工廠","彰化縣埔心鄉舊館村興霖路9號","台灣","0.02","0.004","0.02","合格"
"100","食米","宏元米廠","彰化縣福興鄉外中村外中街426號","台灣","0.01","0.008","0.01","合格"
"100","食米","合順益碾米廠","彰化縣福興鄉三汴村彰水路456號","台灣","0.04","0.004","0.01","合格"
"100","食米","金連春實業股份有限公司","彰化縣花壇鄉中山路一段194號","台灣","0.02","0.003","0.02","合格"
"100","食米","和豐碾米工廠","彰化縣鹿港鎮鹿和路一段411號","台灣","0.03","0.003","0.03","合格"
"100","食米","儀立碾米廠","彰化縣鹿港鎮鹿草路二段814號","台灣","0.01","0.002","0.02","合格"
"100","蓬來米","達記碾米工廠","彰化縣埔心鄉舊館村興霖路9號","台灣","0.04","0.004","0.01","合格"
"100","秈稻米","達記碾米工廠","彰化縣埔心鄉舊館村興霖路9號","台灣","0.01","0.002","0.01","合格"
"100","食米","宏元米廠","彰化縣福興鄉外中村外中街426號","台灣","0.03","0.003","0.01","合格"
"100","食米","合順益碾米廠","彰化縣福興鄉三汴村彰水路456號","台灣","0.03","0.002","0.01","合格"
"100","中興牌壽司米","南光米店","南投縣南投市民族路86號","台灣","0.03","0.002","0.02","合格"
"100","濁水米","名間鄉農會","南投縣名間鄉中正村彰南路26號","台灣","0.07","0.005","0.03","合格"
"100","中興牌壽司米","全聯實業有限公司","南投縣南投市南陽路452號1樓","台灣","0.03","0.003","0.04","合格"
"100","濁水米","名間鄉農會","南投縣名間鄉中正村彰南路26號","台灣","0.04","0.003","0.03","合格"
"100","白米","張農產加工廠","雲林縣莿桐鄉埔尾村油車90號","台灣","0.04","0.003","0.02","合格"
"100","白米","大豐碾米廠","雲林縣莿桐鄉大美村大美101號","台灣","0.05","0.003","0.03","合格"
"100","白米","新日發碾米廠","雲林縣大埤鄉三結村埤頭12號","台灣","0.03","0.004","0.07","合格"
"100","白米","協成工廠","雲林縣大埤鄉南和村中正路35號","台灣","0.05","0.004","0.01","合格"
"100","白米","埤源碾米廠","雲林縣西螺鎮東興里106號","台灣","0.02","0.003","0.01","合格"
"100","白米","泰興碾米廠","雲林縣西螺鎮埤頭里37-2號","台灣","0.04","0.005","0.02","合格"
"100","白米","正昇碾米工廠(股)公司","雲林縣西螺鎮頂湳里32-2號","台灣","0.02","0.004","0.02","合格"
"100","白米","張農產加工廠","雲林縣莿桐鄉埔尾村油車157號","台灣","0.05","0.004","0.03","合格"
"100","白米","大豐碾米廠","雲林縣莿桐鄉大美村大美101號","台灣","0.03","0.002","0.02","合格"
"100","白米","新日發碾米廠","雲林縣大埤鄉三結村埤頭12號","台灣","0.02","0.003","0.01","合格"
"100","白米","協成工廠","雲林縣大埤鄉南和村中正路35號","台灣","0.02","0.003","0.01","合格"
"100","白米","埤源碾米廠","雲林縣西螺鎮東興里106號","台灣","0.01","0.003","0.02","合格"
"100","白米","泰興碾米廠","雲林縣西螺鎮埤頭里37-2號","台灣","0.02","0.003","0.03","合格"
"100","白米","正昇碾米工廠(股)公司","雲林縣西螺鎮頂湳里32-2號","台灣","0.01","0.002","0.02","合格"
"100","食米","正昇碾米廠","嘉義市民族路77號","台灣","0.013","0.004","0.01","合格"
"100","食米","永發碾米廠","嘉義市吳鳳南路315號","台灣","0.02","0.003","未檢出","合格"
"100","食用米","振豐碾米廠","嘉義市北興街432號","台灣","0.009","0.002","未檢出","合格"
"100","食用米","正昇碾米廠","嘉義市民族路77號","台灣","未檢出","0.002","0.01","合格"
"100","食用米","金永發碾米廠","嘉義市吳鳳南路128號","台灣","未檢出","0.001","0.04","合格"
"100","食用米","振豐碾米廠","嘉義市北興街432號","台灣","0.02","0.002","0.06","合格"
"100","食米","新建興碾米廠","嘉義縣水上鄉龍德村27號之2","台灣","未檢出","0.002","0.01","合格"
"100","食米","新萬益碾米廠","嘉義縣水上鄉中庄村中庄60號","台灣","未檢出","0.004","0.01","合格"
"100","食米","五王糧食股份有限公司","嘉義縣義竹鄉義工三路12號","台灣","0.03","0.003","未檢出","合格"
"100","食米","永昌碾米廠","嘉義縣溪口鄉坪頂村下坪18號","台灣","0.02","0.003","未檢出","合格"
"100","食米","和泰碾米工廠","嘉義縣民雄鄉北斗村北勢子55號","台灣","0.028","0.002","未檢出","合格"
"100","食米","新建興碾米廠","嘉義縣水上鄉龍德村27號之2","台灣","0.006","0.002","未檢出","合格"
"100","食米","新萬益碾米廠","嘉義縣水上鄉中庄村中庄60號","台灣","未檢出","0.002","未檢出","合格"
"100","食米","五王糧食股份有限公司","嘉義縣義竹鄉義工三路12號","台灣","0.014","0.002","0.11","合格"
"100","食米","永昌碾米廠","嘉義縣溪口鄉坪頂村下坪18號","台灣","0.026","0.002","0.09","合格"
"100","食米","和泰碾米工廠","嘉義縣民雄鄉北斗村北勢子55號","台灣","0.07","0.002","0.03","合格"
"100","夢月米","聯發碾米工廠","台南市後壁區嘉田里48-3號","台灣","0.01","0.001","0.01","合格"
"100","白米","穀豐碾米廠","台南市柳營區士林里柳營路一段491巷35號","台灣","0.01","0.002","未檢出","合格"
"100","龍波香米","德昌碾工廠","台南市柳營區人和村雙和路107號","台灣","0.04","0.003","未檢出","合格"
"100","台稉九號","六甲農會碾米廠","台南市六甲區中社區林鳳營21號","台灣","0.018","0.003","未檢出","合格"
"100","財運平安米","六甲農會碾米廠","台南市六甲區中社區林鳳營21號","台灣","0.01","0.003","未檢出","合格"
"100","長糯米","裕勝糧食有限公司","台南市永商區正南一路92巷37弄12.16號","台灣","0.007","0.002","未檢出","合格"
"100","可口池王米","裕勝糧食有限公司","台南市永商區正南一路92巷37弄12.16號","台灣","0.01","0.002","未檢出","合格"
"100","夢月米","聯發碾米工廠","台南市後壁區嘉田里48-3號","台灣","0.005","0.002","0.01","合格"
"100","龍波香米","德昌碾工廠","台南市柳營區人和村雙和路107號","台灣","0.027","0.003","0.05","合格"
"100","白米","穀豐碾米廠","台南市柳營區士林里柳營路一段491巷35號","台灣","0.03","0.005","0.1","合格"
"100","赤山米","六甲農會碾米廠","台南市六甲區中社區林鳳營21號","台灣","0.03","0.002","0.09","合格"
"100","台稉九號","六甲農會碾米廠","台南市六甲區中社區林鳳營21號","台灣","0.04","0.002","0.1","合格"
"100","米","新吉行","高雄市岡山區公園東路1號","台灣","0.02","0.001","0.01","合格"
"100","蓬萊米","啟豐碾米工廠","高雄市岡山區開元街38號","台灣","未檢出","0.002","0.01","合格"
"100","蓬萊米","忠慶米行","高雄市岡山區正言街69號","台灣","未檢出","0.002","未檢出","合格"
"100","米","隆裕碾米廠","高雄市鳳山區中正路66號","台灣","0.03","0.002","未檢出","合格"
"100","米","鳳農供銷部碾米廠","高雄市鳳山區民興路80號","台灣","0.02","0.004","未檢出","合格"
"100","香米","鳳農供銷部碾米廠","高雄市鳳山區民興路80號","台灣","0.03","0.002","未檢出","合格"
"100","美農米","美濃區農會高埔碾米工廠","高雄市美濃區光明路100巷8號","台灣","0.015","0.002","未檢出","合格"
"100","白米","豐吉碾米廠","高雄市美濃區成功路479號","台灣","0.019","0.003","未檢出","合格"
"100","香米","福記米廠","高雄市路竹區中山路1053號","台灣","0.006","0.001","0.01","合格"
"100","糙米","福記米廠","高雄市路竹區中山路1053號","台灣","0.01","0.003","0.01","合格"
"100","白米","瑞山碾米工廠","高雄市岡山區維仁路343號","台灣","未檢出","0.001","未檢出","合格"
"100","台南11號米","鳳山市農會","高雄市鳳山區民興路80號","台灣","0.006","0.002","0.08","合格"
"100","益泉香米(台農71號)","鳳山市農會","高雄市鳳山區民興路80號","台灣","0.057","0.002","0.1","合格"
"100","糙米","鳳山市農會","高雄市鳳山區民興路80號","台灣","0.014","0.003","0.11","合格"
"100","白米","正泉源米店","高雄市旗山區復新街91號","台灣","0.02","0.002","0.01","合格"
"100","米","任輝米店","高雄市杉林區清水路80號","台灣","0.01","0.002","0.05","合格"
"100","白米","屏東市農會碾米廠","屏東縣屏東市橋南里工業路2號","台灣","0.01","0.003","0.01","合格"
"100","白米","聯昌碾米廠","屏東縣屏東市大同路10號","台灣","0.03","0.003","未檢出","合格"
"100","白米","新豐碾米廠","屏東縣新園鄉仙吉路225號","台灣","0.04","0.002","未檢出","合格"
"100","白米","內埔碾米廠","屏東縣內埔鄉東成路6號","台灣","0.019","0.002","未檢出","合格"
"100","白米","春源碾米廠","屏東縣內埔鄉學人路402號","台灣","0.012","0.003","未檢出","合格"
"100","白米","屏東市農會碾米廠","屏東縣屏東市橋南里工業路2號","台灣","0.011","0.003","0.01","合格"
"100","白米","聯昌碾米廠","屏東縣屏東市大同路10號","台灣","未檢出","0.002","0.06","合格"
"100","白米","新豐碾米廠","屏東縣新園鄉仙吉路225號","台灣","未檢出","0.002","0.04","合格"
"100","白米","春源碾米廠","屏東縣內埔鄉學人路402號","台灣","0.02","0.002","0.03","合格"
"100","禾香米","內埔碾米廠","屏東縣內埔鄉東成路6號","台灣","0.03","0.003","0.02","合格"
"101","大賀香米","大園鄉良質米產銷班第一班","桃園縣大園鄉和平村14鄰張厝10-2號","台灣","0.04","0.002","0.02","合格"
"101","龍泉米","桃園縣龍潭鄉農會超市","桃園縣龍潭鄉龍星村東隆路112號","台灣","0.09","0.001","0.01","合格"
"101","桃好米","桃園市良質米產銷班","桃園縣桃園市富國路90巷321號","台灣","0.15","0.001","0.02","合格"
"101","大溪米","桃園大溪鎮農會","桃園縣大溪鎮民生路1號","台灣","0.1","0.003","0.03","合格"
"101","新屋芋香糙米","陸穀實業股份有限公司","桃園縣新屋鄉石磊村8鄰37之2號","台灣","0.09","0.002","0.01","合格"
"101","大賀香米","大園鄉良質米產銷班第一班","桃園縣大園鄉和平村14鄰張厝10-2號","台灣","0.04","0.003","0.01","合格"
"101","龍泉米","桃園縣龍潭鄉農會米穀加工廠","桃園縣龍潭鄉龍星村東隆路112號","台灣","0.07","0.002","0.01","合格"
"101","桃好米","桃園市良質米產銷班第一班","桃園縣桃園市富國路90巷321號","台灣","0.09","0.002","0.01","合格"
"101","樂福米(大溪米)","桃園縣大溪鎮農會","桃園縣大溪鎮民生路1號","台灣","0.17","0.003","0.02","合格"
"101","新屋芋香糙米","陸穀實業股份有限公司","桃園縣新屋鄉石磊村8鄰37之2號","台灣","0.08","0.003","0.02","合格"
"101","蓬萊米","新典碾米工廠","新竹縣竹北市中正西路718號","台灣","0.09","0.003","0.01","合格"
"101","富麗米","德龍興碾米廠","新竹縣竹北市溪州里51-19號","台灣","0.02","0.001","0.01","合格"
"101","正港壽司米","得意碾米廠","新竹縣新豐鄉青浦村4鄰57之1號","台灣","0.09","0.002","0.05","合格"
"101","皇帝米","頂興碾米廠","新竹縣新豐鄉埔和村14鄰372號","台灣","0.06","0.002","0.02","合格"
"101","東部米","新典碾米工廠","新竹縣竹北市中正西路718號","台灣","0.09","0.002","0.01","合格"
"101","東海米","德龍興碾米廠","新竹縣竹北市溪州里51-19號","台灣","0.09","0.003","0.01","合格"
"101","白米(得意)","得意碾米廠","新竹縣新豐鄉青浦村4鄰57之1號","台灣","0.11","0.002","0.01","合格"
"101","白米(頂興)","頂興碾米廠","新竹縣新豐鄉埔和村14鄰372號","台灣","0.01","0.003","0.01","合格"
"101","蓬萊白米","德發碾米工廠","宜蘭縣宜蘭市大坡路一段66.68號","台灣","0.01","0.001","0.1","合格"
"101","蓬萊米","佳豐碾米工廠","宜蘭縣壯圍鄉大福路三段2號","台灣","0.01","0.002","0.1","合格"
"101","蓬萊米","新建茂碾米工廠","宜蘭縣羅東鎮羅莊一街25號","台灣","0.02","0.002","0.1","合格"
"101","蓬萊白米","新正豐碾米廠","宜蘭縣蘇澳鎮中山路3號","台灣","0.09","0.002","0.1","合格"
"101","長秈白米","新益豐碾米工廠","宜蘭縣壯圍鄉永美路二段17巷2號","台灣","0.12","0.003","0.01","合格"
"101","秈稻米","錡富碾米工廠","宜蘭縣三星路一段693號","台灣","0.12","0.003","0.01","合格"
"101","蓬萊米","大和碾米廠","宜蘭縣三星鄉上將路二段435號","台灣","0.05","0.003","0.01","合格"
"101","東龍米","新嘉豐碾米廠","宜蘭縣員山鄉員山路1段135號","台灣","0.13","0.003","0.01","合格"
"101","有機月光米(轉型期)","五結鄉農會孝威碾米工廠","宜蘭縣五結鄉孝威路402號","台灣","0.12","0.003","0.01","合格"
"101","蓬萊白米(高雄145號)","五結鄉農會孝威碾米工廠","宜蘭縣五結鄉孝威路402號","台灣","0.08","0.005","0.01","合格"
"101","白米","信安糧食行","花蓮縣富里鄉學田村民權路10號","台灣","0.03","0.001","0.01","合格"
"101","白米","花東製米股份有限公司","花蓮縣富里鄉富里村公埔路186號","台灣","0.03","0.001","0.01","合格"
"101","白米","銀川碾米廠","花蓮縣富里鄉富里村二段公埔路75號","台灣","0.05","0.001","0.01","合格"
"101","白米","富里鄉農會供銷部","花蓮縣富里鄉羅山村9鄰6號","台灣","0.02","0.001","0.01","合格"
"101","白米","池上米東竹碾米工廠","花蓮縣富里鄉竹田村5鄰東竹99號","台灣","0.05","0.001","0.02","合格"
"101","白米","東里碾米工廠","花蓮縣富里鄉東里村大莊路1鄰1號","台灣","0.07","0.001","0.02","合格"
"101","白米","年昌碾米工廠","花蓮縣玉里鎮中華路28號","台灣","0.03","0.003","0.03","合格"
"101","吉安香米","永興商行","花蓮縣光復鄉大安村中山路二段196號","台灣","0.02","0.003","0.03","合格"
"101","白米","銀川碾米廠","花蓮縣富里鄉富里村二段公埔路75號","台灣","0.01","0.001","0.01","合格"
"101","白米","花東製米股份有限公司","花蓮縣富里鄉富里村公埔路186號","台灣","0.01","0.001","0.01","合格"
"101","白米","信安糧食行","花蓮縣富里鄉學田村民權路10號","台灣","0.02","0.002","0.01","合格"
"101","白米","東里碾米工廠","花蓮縣東里村大莊路1鄰1號","台灣","0.02","0.002","0.01","合格"
"101","白米","富里鄉農會供銷部","花蓮縣羅山村9鄰8號","台灣","0.01","0.002","0.01","合格"
"101","白米","東竹碾米廠","花蓮縣竹田村5鄰東竹99號","台灣","0.01","0.002","0.01","合格"
"101","白米","年昌碾米工廠","花蓮縣玉里鎮中華路28號","台灣","0.02","0.003","0.02","合格"
"101","蓬萊米","永興商行","花蓮縣光復鄉大安村中山路二段196號","台灣","0.02","0.002","0.02","合格"
"101","池農米","池農超市","台東縣池上鄉新生路193號","台灣","0.015","0.001","0.009","合格"
"101","米","梓園碾米工廠","台東縣關山鎮德高里永豐69之1號","台灣","0.021","0.001","0.006","合格"
"101","米","關山鎮農會碾米加工廠","台東縣關山鎮德高里東庄路30-1.2.3號","台灣","0.026","0.002","未檢出","合格"
"101","米","長濱鄉農會忠勇倉庫","台東縣長濱鄉忠勇村2鄰26號","台灣","未檢出","0.003","未檢出","合格"
"101","米","協成製材碾米工廠","台東縣鹿野鄉永安村10鄰中華路三段281巷9號","台灣","0.009","0.008","0.028","合格"
"101","池農米","池農超市","台東縣池上鄉新生路193號","台灣","0.005","0.003","未檢出","合格"
"101","米","梓園碾米工廠","台東縣關山鎮德高里永豐69之1號","台灣","0.014","0.001","0.011","合格"
"101","米","關山鎮農會碾米加工廠","台東縣關山鎮德高里東庄路30-1.2.3號","台灣","0.008","0.002","未檢出","合格"
"101","米","長濱鄉農會忠勇倉庫","台東縣長濱鄉忠勇村2鄰26號","台灣","0.011","0.001","0.009","合格"
"101","米","協成製材碾米工廠","台東縣鹿野鄉永安村10鄰中華路三段281巷9號","台灣","0.005","0.001","0.013","合格"
"101","特選圓糯白米","智記商店","苗栗縣銅鑼村銅鑼街19號","台灣","0.04","0.004","0.02","合格"
"101","白米","長城糧食工廠","苗栗縣頭份鎮蘆竹里53號","台灣","0.04","0.003","0.02","合格"
"101","白米","盛裕碾米廠","苗栗縣後龍鎮埔頂里中心路120之31號","台灣","0.03","0.003","0.01","合格"
"101","白米","泉順碾米廠","苗栗縣後龍鎮埔頂里中華路1016號","台灣","0.06","0.004","0.03","合格"
"101","白米","成農碾米工廠","苗栗市嘉盛里為公路425號","台灣","0.04","0.004","0.03","合格"
"101","白米","苗栗市農會供銷部","苗栗市復興路4段197號","台灣","0.02","0.005","0.02","合格"
"101","圓糯米","智記商店","苗栗縣銅鑼村銅鑼街19號","台灣","0.03","0.004","未檢出","合格"
"101","白米","泉順碾米廠","苗栗縣後龍鎮埔頂里中華路1016號","台灣","0.03","0.004","0.04","合格"
"101","越禾米","三商行股份有限公司","台中市太平區樹孝路145號","台灣","0.03","0.003","0.03","合格"
"101","台灣好米上好米","清水鎮農會農民購物中心","台中市清水區新興路1-32號","台灣","0.02","0.002","0.03","合格"
"101","白米","臺中市豐原區農會","台中市豐原區豐勢路2段819巷40號","台灣","0.07","0.006","0.01","合格"
"101","台灣好米","清水區農會超市","台中市清水區新興路1-32號","台灣","0.04","0.004","0.02","合格"
"101","霧峰香米","方里企業有限公司","台中市大里區仁北路452-1,452-2號","台灣","0.09","0.003","0.01","合格"
"101","烏農米","台中市烏日區農會","台中市烏日區三民街179號1樓","台灣","0.09","0.004","0.03","合格"
"101","益全香米","順光碾米廠","台中市五福路242號","台灣","0.09","0.005","0.04","合格"
"101","白米","潭子區農會供銷部","台中市潭子區雅潭路2段382號","台灣","0.06","0.003","0.04","合格"
"101","益全香米","日成碾米廠","台中市南區合作街92號","台灣","0.04","0.003","0.03","合格"
"101","白米","台中市大雅區農會","台中市大雅區田心街21號","台灣","0.08","0.006","0.04","合格"
"101","晶品米良質米","台中市農會供銷部","台中市西屯區西屯路2段307號","台灣","0.04","0.005","0.02","合格"
"101","晶品米","台中地區農會","台中市西區向上路一段95號","台灣","0.08","0.003","0.02","合格"
"101","白米","豐原市農會供銷部","台中市豐原區豐勢路2段819巷40號","台灣","0.08","0.005","0.02","合格"
"101","益全香米","太平碾米工廠","台中市太平區東平路151號","台灣","0.09","0.004","0.01","合格"
"101","食米","和豐碾米工廠","彰化縣鹿港鎮鹿和路一段411號","台灣","0.03","0.002","0.03","合格"
"101","食米","金蓮春實業股份有限公司","彰化縣花壇鄉金墩村中山路一段196號","台灣","0.03","0.001","0.02","合格"
"101","食米","宏元米廠","彰化縣福星鄉外中村外中街426號","台灣","0.02","0.002","0.02","合格"
"101","食米","豐成碾米工廠","彰化縣社頭鄉員集路1段523號","台灣","0.04","0.003","0.01","合格"
"101","食米","合山碾米工廠","彰化縣社頭鄉社石路896號","台灣","0.03","0.003","0.02","合格"
"101","蓬萊米","正新製米股份有限公司","彰化縣田中鎮三安里員集路1段530號","台灣","0.03","0.003","未檢出","合格"
"101","壽司米","正新製米股份有限公司","彰化縣田中鎮三安里員集路1段530號","台灣","0.03","0.003","0.01","合格"
"101","食米(泰國長糯米)","宏元米廠","彰化縣市星鄉外中村外中街426號","泰國","0.01","0.004","0.04","合格"
"101","食米(蓬萊米)","和豐碾米工廠","彰化縣鹿港鎮鹿和路一段411號","台灣","0.02","0.004","0.02","合格"
"101","食米","金蓮春實業股份有限公司","彰化縣花壇鄉金墩村中山路一段196號","台灣","0.02","0.005","0.03","合格"
"101","食米(蓬萊米)","豐成碾米工廠","彰化縣社頭鄉員集路1段523號","台灣","0.03","0.005","0.02","合格"
"101","食米(蓬萊米)","合山碾米工廠","彰化縣社頭鄉社石路896號","台灣","0.02","0.004","0.04","合格"
"101","食米(蓬萊米)","正新製米股份有限公司","彰化縣田中鎮三安里員集路1段530號","台灣","0.02","0.005","未檢出","合格"
"101","食米(壽司米)","正新製米股份有限公司","彰化縣田中鎮三安里員集路1段530號","台灣","0.03","0.004","未檢出","合格"
"101","白米","鹿谷鄉農會","南投縣鹿谷鄉中正一路231號","台灣","0.05","0.003","0.03","合格"
"101","白米","埔里鎮農會","南投縣埔里鎮清新里西安路一段6號","台灣","0.1","0.004","0.02","合格"
"101","歪嘴雞米","名間鄉農會","南投縣名間鄉中正村彰南路26號","台灣","0.02","0.004","0.05","合格"
"101","合歡米","水里鄉農會","南投縣水里鄉農富村民生路362號","台灣","0.05","0.005","0.03","合格"
"101","白米","和順米工廠","雲林縣西螺鎮西螺路15號","台灣","0.09","0.002","0.02","合格"
"101","白米","宇進實業股份有限公司","雲林縣西螺鎮福田里社口68-20號","台灣","0.03","0.002","0.03","合格"
"101","白米","弘成碾米廠","雲林縣莿桐鄉四合村永基路44號","台灣","0.01","0.004","0.02","合格"
"101","白米","新源隆碾米廠","雲林縣莿桐鄉麻園村榮貫路150號","台灣","0.03","0.003","0.01","合格"
"101","白米","信興碾米工廠","雲林縣口湖鄉下崙村福安路46號","台灣","0.03","0.005","0.02","合格"
"101","白米","建南碾米工廠","雲林縣口湖鄉埔南村外埔路4號","台灣","0.03","0.003","0.02","合格"
"101","白米","玉山輾米廠","雲林縣斗南鎮新興街33號","台灣","0.08","0.005","0.04","合格"
"101","白米","和順米工廠","雲林縣西螺鎮西螺路15號","台灣","0.01","0.004","0.02","合格"
"101","白米","宇進實業股份有限公司","雲林縣西螺鎮福田里社口68-20號","台灣","0.01","0.003","0.04","合格"
"101","白米","弘成碾米廠","雲林縣莿桐鄉四合村永基路44號","台灣","0.04","0.005","0.02","合格"
"101","白米","新源隆碾米廠","雲林縣莿桐鄉麻園村榮貫路150號","台灣","0.03","0.005","0.01","合格"
"101","白米","信興碾米工廠","雲林縣口湖鄉下崙村福安路46號","台灣","0.03","0.003","未檢出","合格"
"101","白米","建南碾米工廠","雲林縣口湖鄉埔南村外埔路4號","台灣","0.01","0.005","未檢出","合格"
"101","白米","玉山輾米廠","雲林縣斗南鎮新興街33號","台灣","0.06","0.004","未檢出","合格"
"101","食用米","正昇碾米廠","嘉義市東區民族路77號","台灣","0.023","0.003","0.03","合格"
"101","食用米","永發碾米工廠","嘉義市東區吳鳳南路315號","台灣","0.034","0.004","0.005","合格"
"101","食用米","振豐碾米廠","嘉義市北興街432號","台灣","0.019","0.013","未檢出","合格"
"101","食用米","正昇碾米廠","嘉義市東區民族路77號","台灣","0.012","0.001","未檢出","合格"
"101","食用米","金永發碾米廠","嘉義市東區吳鳳南路128號","台灣","0.009","0.002","0.018","合格"
"101","食用米","振豐碾米廠","嘉義市北興街432號","台灣","0.009","0.001","0.015","合格"
"101","食米","正豐盛碾米廠","嘉義縣布袋鎮後壁寮106號","台灣","0.017","0.002","0.027","合格"
"101","食米","瑞豐碾米廠","嘉義縣布袋鎮崩山118號","台灣","0.016","0.004","0.009","合格"
"101","米(11號)","新長發碾米廠","嘉義縣大林鎮中興路213號","台灣","0.032","0.003","未檢出","合格"
"101","白米","三合豐碾米廠分廠","嘉義縣鹿草鄉下麻村4之1號","台灣","0.016","0.004","未檢出","合格"
"101","米","協和碾米廠","嘉義縣朴子市向榮路30號","台灣","0.009","0.008","0.028","合格"
"101","食米","正豐盛碾米廠","嘉義縣布袋鎮後壁寮106號","台灣","0.005","0.003","未檢出","合格"
"101","食米","瑞豐碾米廠","嘉義縣布袋鎮崩山118號","台灣","0.014","0.001","0.01","合格"
"101","米(11號)","新長發碾米廠","嘉義縣大林鎮中興路213號","台灣","0.009","0.002","0.018","合格"
"101","白米","三合豐碾米廠分廠","嘉義縣鹿草鄉下麻村4之1號","台灣","0.011","0.001","0.01","合格"
"101","米","協和碾米廠","嘉義縣朴子市向榮路30號","台灣","0.006","0.001","0.009","合格"
"101","米(11)","華豐碾米廠","台南市善化區田寮里86號","台灣","0.03","0.003","0.008","合格"
"101","食用米","穀豐碾米廠","台南市柳營區士林里柳營路一段491巷35號","台灣","0.025","0.003","0.006","合格"
"101","食用米","德昌碾米廠","台南市柳營區雙和路107號","台灣","0.015","0.003","0.023","合格"
"101","埤頭濁水米","同進米廠","台南市東區裕豐街135號","台灣","0.02","0.011","未檢出","合格"
"101","蓬萊米","水木碾米廠","台南市安平區觀音街28號","台灣","0.007","0.005","0.021","合格"
"101","越光米","小北百貨有限公司","台南市北區成功路526號1樓","台灣","0.012","0.002","0.03","合格"
"101","嚴選好米","國寶商行","台南市永康區復興路129號","台灣","0.012","0.002","未檢出","合格"
"101","白米","華豐碾米廠","台南市善化區田寮里86號","台灣","0.006","0.001","未檢出","合格"
"101","米","國寶商行","台南市永康區復興路129號","台灣","0.008","0.001","未檢出","合格"
"101","長秈保養米","全聯福利中心(台南和緯分公司)","台南市北區和緯路2段172號","台灣","0.01","0.001","未檢出","合格"
"101","白米","穀豐碾米廠","台南市柳營區一段491巷35號","台灣","0.01","0.001","0.017","合格"
"101","白米","德昌碾米廠","台南市柳營區雙和路107號","台灣","0.008","0.002","未檢出","合格"
"101","蓬萊米","水木碾米廠","台南市安平區觀音街28號","台灣","0.005","0.001","0.007","合格"
"101","埤頭濁水米","同進米廠","台南市東區裕豐街135號","台灣","0.006","0.001","0.005","合格"
"101","白米","和春碾米廠","高雄市林園區東林西路155號","台灣","0.006","未檢出","0.028","合格"
"101","長秈米","和春碾米廠","高雄市林園區東林西路155號","台灣","0.018","0.002","未檢出","合格"
"101","白米","長吉安碾米廠","高雄市林園區東林西路420號","台灣","0.026","未檢出","0.008","合格"
"101","精選米","美濃農會","高雄市美濃區德興里光明路100巷8號","台灣","0.031","0.002","未檢出","合格"
"101","良質米","美濃農會","高雄市美濃區德興里光明路100巷8號","台灣","0.025","0.003","0.006","合格"
"101","蓬來米","豐吉碾米廠","高雄市美濃區成功路479號","台灣","0.026","0.003","0.008","合格"
"101","香米","振合碾米廠","高雄市仁武區鳳仁路225巷32號","台灣","0.012","0.002","未檢出","合格"
