年度,檢體名稱,抽樣廠商名稱,抽樣廠商地址,產地,重金屬檢測殘留量鎘含量_單位ppm,重金屬檢測殘留量汞含量_單位ppm,重金屬檢測殘留量鉛含量_單位ppm,檢驗結果
"99","3001. 白米","玉溪農會","花蓮縣玉里鎮中華路179號","台灣","0.03","未檢出","0.02","合格"
"99","3002. 白米","全豐碾米廠","花蓮縣玉里鎮中山路一段149號","台灣","0.08","未檢出","0.02","合格"
"99","3003. 白米","玉成碾米工廠","花蓮縣玉里鎮中山路一段193號","台灣","0.04","未檢出","0.02","合格"
"99","南 3001. 白米","永發碾米廠","花蓮縣瑞穗鄉國光北路25號","台灣","0.03","0.002","0.08","合格"
"99","南 3002. 白米","自成米廠","花蓮縣瑞穗鄉中山路一段7號","台灣","0.01","0.001","0.04","合格"
"99","3201. 白米","吉成碾米廠","花蓮縣富里鄉中山路96號","台灣","0.01","0.003","0.03","合格"
"99","3202. 白米","富里鄉農會供銷部","花蓮縣富里鄉羅山村9鄰東湖6號","台灣","0.01","0.003","0.04","合格"
"99","3203. 白米","東竹碾米廠","花蓮縣富里鄉竹田村5鄰東竹99號","台灣","0.01","0.003","0.01","合格"
"99","南 3001. 白米","全豐碾米廠","花蓮縣玉里鎮中山路一段149號","台灣","未檢出","0.002","0.02","合格"
"99","南 3002. 白米","玉成碾米工廠","花蓮縣玉里鎮中山路一段193號","台灣","未檢出","0.002","0.02","合格"
"99","南 3003. 白米","玉溪農會","花蓮縣玉里鎮中華路179號","台灣","未檢出","0.002","0.01","合格"
"99","南 3001. 白米","自成米廠","花蓮縣瑞穗鄉中山路一段7號","台灣","0.03","0.004","0.01","合格"
"99","南 3002. 白米","永發碾米廠","花蓮縣瑞穗鄉國光北路25號","台灣","0.02","0.004","0.003","合格"
"99","散裝米","關山農會","台東縣關山鎮昌林路24-1號","台灣","0.04","0.013","0.04","合格"
"99","池上米","池上農會","台東縣池上鄉新生路193號","台灣","0.05","0.004","0.003","合格"
"99","白米","穗記碾米廠","台東縣長濱鄉三間村大俱來11鄰11號","台灣","0.02","0.002","未檢出","合格"
"99","米","協成製材碾米工廠","台東縣鹿野鄉永安村中華路三段281巷9號","台灣","0.05","0.006","0.03","合格"
"99","蓬萊白米","瑞利米行","台東縣台東市光明路198號","台灣","0.03","0.001","0.01","合格"
"99","散裝米","關山農會","台東縣關山鎮昌林路24-1號","台灣","0.01","0.009","0.02","合格"
"99","白米","池上鄉農會","台東縣池上鄉新興村85之7號","台灣","0.01","0.009","0.03","合格"
"99","散裝米","穗記碾米廠","台東縣長濱鄉三間村大俱來11鄰11號","台灣","0.01","0.006","0.01","合格"
"99","白米","協成製材碾米工廠","台東縣鹿野鄉永安村中華路三段281巷9號","台灣","0.02","0.005","未檢出","合格"
"99","散裝米","梓園碾米工廠","台東縣關山鎮德高里永豐69之1號","台灣","0.03","0.007","0.05","合格"
"99","A-1 白米","泉順碾米工廠(後龍廠)","苗栗縣後龍鎮中華路1016號","台灣","0.03","0.002","0.02","合格"
"99","A-2 白米","盛裕碾米廠","苗栗縣後龍鎮埔頂里中心路120-31號","台灣","0.04","0.003","0.02","合格"
"99","B127. 白米","成農碾米工廠","苗栗縣苗栗市嘉盛里為公路425號","台灣","0.05","0.003","0.02","合格"
"99","B128. 白米","廣生碾米工廠","苗栗縣苗栗市嘉盛里為公路173號","台灣","0.03","0.003","0.03","合格"
"99","A157. 白米","泉順碾米工廠(後龍廠)","苗栗縣後龍鎮中華路1016號","台灣","0.04","0.001","0.01","合格"
"99","A158. 白米","盛裕碾米廠","苗栗縣後龍鎮埔頂里中心路120-31號","台灣","0.01","0.001","0.02","合格"
"99","白米","成農碾米工廠","苗栗縣苗栗市嘉盛里為公路425號","台灣","0.05","0.002","0.01","合格"
"99","白米","廣生碾米工廠","苗栗縣苗栗市嘉盛里為公路173號","台灣","0.06","0.002","0.01","合格"
"99","上品米-98年2期","清水鎮農會","台中縣清水鎮清水里中山路94號","台灣","0.05","0.006","0.03","合格"
"99","蓬萊白米-98年2期","弘暉商行","台中縣大里市仁化路773號","台灣","0.03","0.006","0.02","合格"
"99","原鄉味良質米-98年2期","巧鄰實業股份有限公司(生鮮包裝廠)","台中縣大甲鎮庄美里蔣公路295號","台灣","0.03","0.002","0.02","合格"
"99","白米-98年2期","大陽碾米廠","台中縣大雅鄉六寶村中清路四段126號","台灣","0.04","0.004","0.02","合格"
"99","葫蘆墩白米-98年2期","太平市農會供銷部","台中縣太平市太平路483號","台灣","0.07","0.003","0.02","合格"
"99","白米-98年2期","大雅鄉農會碾米加工廠","台中縣大雅鄉雅潭路田心巷5-5號","台灣","0.07","0.003","0.03","合格"
"99","上品米-98年2期","新天地量販倉庫","台中縣沙鹿鎮鹿寮里光華路336號","台灣","0.04","0.002","0.02","合格"
"99","蓬萊白米-98年2期","弘暉商行","台中縣大里市仁化路773號","台灣","0.06","0.002","0.03","合格"
"99","上品米-98年2期","清水農會超市","台中市清水區新興路1-32號","台灣","0.03","0.001","0.03","合格"
"99","白米-99年1期","大陽碾米廠","台中縣大雅鄉六寶村中清路四段126號","台灣","0.04","0.003","0.02","合格"
"99","台灣好米-99年1期","大甲鎮農會","台中縣大甲鎮中山路一段1372號","台灣","0.08","0.001","0.05","合格"
"99","葫蘆墩白米-99年1期","太平市農會供銷部","台中縣太平市太平路483號","台灣","0.01","0.006","0.02","合格"
"99","上品米","新天地量販倉庫","台中縣沙鹿鎮鹿寮里光華路336號","台灣","0.04","0.001","0.01","合格"
"99","米","大雅鄉農會碾米加工廠","台中縣大雅鄉雅潭路田心巷5-5號","台灣","0.08","0.003","0.01","合格"
"99","關山米(CNS二等白米)","德興碾米廠","彰化縣鹿港鎮民族路103號","台灣","0.03","0.003","0.01","合格"
"99","稉白米(CNS一等)","合順益碾米廠","彰化縣福興鄉彰水路456號","台灣","0.02","0.005","0.01","合格"
"99","壽司米(蓬萊白米)","正新製米(股)有限公司","彰化縣田中鎮員集路一段530號","台灣","0.03","0.003","0.03","合格"
"99","南豐五號米","益詮行","彰化縣大村鄉大村村大溪路1-4號","台灣","0.03","0.002","0.02","合格"
"99","蓬萊米","峻豐米行","彰化縣大村鄉茄苳路一段90號","台灣","0.02","0.002","0.02","合格"
"99","蓬萊米","森源米行","彰化縣彰化市彰南路一段314號","台灣","0.02","0.003","0.02","合格"
"99","台農139白米","太倉米行","彰化縣彰化市彰美路一段158號","台灣","0.05","0.002","0.02","合格"
"99","壽司米(蓬萊白米)","正新製米(股)有限公司","彰化縣田中鎮員集路一段530號","台灣","0.03","0.001","0.02","合格"
"99","關山米(CNS二等白米)","德興碾米廠","彰化縣鹿港鎮民族路103號","台灣","0.02","0.001","0.02","合格"
"99","稉白米(CNS一等)","合順益碾米廠","彰化縣福興鄉彰水路456號","台灣","0.03","0.001","0.01","合格"
"99","南豐五號米","益詮行","彰化縣大村鄉大村村大溪路1-4號","台灣","0.01","0.002","0.06","合格"
"99","蓬萊米","峻豐米行","彰化縣大村鄉茄苳路一段90號","台灣","0.02","0.001","0.01","合格"
"99","蓬萊米","森源米行","彰化縣彰化市彰南路一段314號","台灣","0.04","0.002","0.01","合格"
"99","台農139白米","太倉米行","彰化縣彰化市彰美路一段158號","台灣","0.04","0.002","0.01","合格"
"99","265 白米","竹山鎮農會","南投縣竹山鎮新村一巷39號","台灣","0.06","0.007","0.03","合格"
"99","266 特級米","草屯鎮農會","南投縣草屯鎮南埔里中正路233-80號","台灣","0.06","0.009","0.02","合格"
"99","632. 台稉九號","草屯鎮農會","南投縣草屯鎮南埔里中正路233-80號","台灣","0.09","0.002","0.02","合格"
"99","633. 白米","竹山鎮農會","南投縣竹山鎮新村一巷39號","台灣","0.07","0.005","0.02","合格"
"99","白米","弘成碾米工廠","雲林縣莿桐鄉四合村永基路44號","台灣","0.04","0.005","0.03","合格"
"99","白米","榮農碾米工廠","雲林縣莿桐鄉五華村建治路47號","台灣","0.02","0.003","0.02","合格"
"99","白米","振裕記碾米工廠","雲林縣虎尾鎮穎川里頂南420號","台灣","0.02","0.002","0.02","合格"
"99","白米","建通糧食工廠","雲林縣虎尾鎮穎川里頂南41-28號","台灣","0.03","0.002","0.02","合格"
"99","白米","和順工廠","雲林縣西螺鎮西崙路15號","台灣","0.01","0.003","0.03","合格"
"99","白米","宇進實業股份有限公司西螺米廠","雲林縣西螺鎮社口68-20號","台灣","0.03","0.004","0.02","合格"
"99","白米","億東企業公司雲林廠","雲林縣西螺鎮社口68-39號","台灣","0.01","0.003","0.02","合格"
"99","白米","弘成碾米工廠","雲林縣莿桐鄉四合村永基路44號","台灣","0.03","0.001","0.02","合格"
"99","白米","榮農碾米工廠","雲林縣莿桐鄉五華村建治路47號","台灣","0.01","0.001","0.02","合格"
"99","白米","振裕記碾米工廠","雲林縣虎尾鎮穎川里頂南420號","台灣","0.03","0.002","0.04","合格"
"99","白米","建通糧食工廠","雲林縣虎尾鎮穎川里頂南41-28號","台灣","0.02","0.003","0.06","合格"
"99","白米","和順工廠","雲林縣西螺鎮西崙路15號","台灣","0.02","未檢出","0.01","合格"
"99","白米","宇進實業股份有限公司西螺米廠","雲林縣西螺鎮社口68-20號","台灣","0.02","0.001","0.01","合格"
"99","白米","億東企業公司雲林廠","雲林縣西螺鎮社口68-39號","台灣","0.01","0.002","0.01","合格"
