年份,職稱,姓名,性別,專長
"104-106","召集人","何國榮","男","分析化學"
"104-106","副召集人","呂廷璋","男","食品科學"
"104-106","委員","孫寶年","女","食品科學"
"104-106","委員","游禎義","男","食品科學"
"104-106","委員","施養志","男","食品科學"
"104-106","委員","黃登福","男","食品科學"
"104-106","委員","周薰修","男","分析化學"
"104-106","委員","陳炳輝","男","分析化學"
"104-106","委員","鄭秋真","女","分析化學"
"104-106","委員","傅明仁","男","分析化學"
"104-106","委員","蘇淑珠","女","分析化學"
"104-106","委員","曾浩洋","男","分子生物學"
"104-106","委員","鄧麗珍","女","分子生物學"
"104-106","委員","袁國芳","女","分子生物學"
"104-106","委員","蔡國珍","女","微生物學"
"104-106","委員","黃顯宗","男","微生物學"
"104-106","委員","周正俊","男","微生物學"
