藥物年報名稱,檔案下載連結,目錄連結
"105年藥物年報","http://www.pharmaceutic.idv.tw/report/download/105年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/105年藥物年報目錄.pdf"
"104年藥物年報","http://www.pharmaceutic.idv.tw/report/download/104年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/104年藥物年報目錄.pdf"
"103年藥物年報","http://www.pharmaceutic.idv.tw/report/download/103年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/103年藥物年報目錄.pdf"
"102年藥物年報","http://www.pharmaceutic.idv.tw/report/download/102年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/102年藥物年報目錄.pdf"
"101年藥物年報","http://www.pharmaceutic.idv.tw/report/download/101年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/101年藥物年報目錄.pdf"
"100年藥物年報","http://www.pharmaceutic.idv.tw/report/download/100年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/100年藥物年報目錄.pdf"
"99年藥物年報","http://www.pharmaceutic.idv.tw/report/download/99年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/99年藥物年報目錄.pdf"
"98年藥物年報","http://www.pharmaceutic.idv.tw/report/download/98年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/98年藥物年報目錄.pdf"
"97年藥物年報","http://www.pharmaceutic.idv.tw/report/download/97年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/97年藥物年報目錄.pdf"
"96年藥物年報","http://www.pharmaceutic.idv.tw/report/download/96年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/96年藥物年報目錄.pdf"
"95年藥物年報","http://www.pharmaceutic.idv.tw/report/download/95年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/95年藥物年報目錄.pdf"
"94年藥物年報","http://www.pharmaceutic.idv.tw/report/download/94年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/94年藥物年報目錄.pdf"
"93年藥物年報","http://www.pharmaceutic.idv.tw/report/download/93年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/93年藥物年報目錄.pdf"
"92年藥物年報","http://www.pharmaceutic.idv.tw/report/download/92年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/92年藥物年報目錄.pdf"
"91年藥物年報","http://www.pharmaceutic.idv.tw/report/download/91年藥物年報.pdf","http://www.pharmaceutic.idv.tw/report/download/91年藥物年報目錄.pdf"
